,CLASS1,HR_25
2350,1,0.0232442893048057
2364,1,0.0079390998980776
2373,1,0.0211975298181837
2376,2,0.0386207058131216
2380,1,0.0113804058917016
2390,2,0.040671769851395
2393,2,0.0366302493249994
2395,1,0.0310444039155705
2397,2,0.024925988483578
2404,2,0.034381789969942
2408,1,0.0177853731251121
2409,1,0.0299674299248469
2411,1,0.0244331643609935
2413,2,0.0452135809726247
2420,1,0.020933254261075
2424,1,0.0269689084356711
2427,1,0.0409259792201625
2429,1,0.0307378318817784
2432,1,0.0296720591623838
2439,3,0.0322700075573141
2441,2,0.0393854119372313
2447,1,0.0354752508285518
2450,1,0.0220291013011533
2454,1,0.0023198936347248
2455,1,0.0300652088057175
2465,1,0.0199999180149337
2468,2,0.038860497699156
2471,1,0.0348331281718529
2473,1,0.0284418581586789
2475,1,0.0314844703409726
2491,2,0.0392868910374012
2494,1,0.017189560003914
2506,1,0.0259196286180813
2507,1,0.0257082795409551
2518,1,0.029714518041045
2520,1,0.0193066667125529
2525,1,0.0064560331548703
2529,1,0.0295687873662574
2534,2,0.0347889682323322
2536,2,0.0501693184703894
2538,2,0.0440047478137937
2539,2,0.0275027633617436
2543,2,0.0478511690048313
2545,2,0.0542162718259757
2547,3,0.024473107809521
2548,2,0.0486751801463423
2551,1,0.0325120276105015
2557,1,0.0424659324836276
2561,1,0.0315468330580755
2566,1,0.0216550393433012
2573,1,0.0331995271584222
2576,1,0.0197495152774826
2578,2,0.0349127275758065
2581,1,0.0183401095457521
2583,2,0.0425338267266031
2585,1,0.0291000446968004
2592,1,0.0301907905694666
2596,1,0.0220293635087481
2605,1,0.0244459332500279
2606,1,0.0180516256424077
2607,2,0.0418337719518354
2611,2,0.0423672972193558
2615,2,0.040989968252615
2618,1,0.0219891041628705
2635,1,0.0231439583680201
2638,2,0.0435024785976042
2640,2,0.047835841308988
2644,1,0.0214758141328181
2648,1,0.0280329754576742
2661,1,0.0312066755218929
2662,1,0.0203375670297587
2664,2,0.0395785346844763
2665,2,0.0472916497194333
2668,1,0.0149365720666112
2669,1,0.0147144933301266
2670,2,0.0384959598804169
2674,1,0.0401438283510497
2678,1,0.0217660110434986
2679,1,0.0186217953373544
2682,1,0.0222941422194261
2697,1,0.0130893261881311
2700,1,0.0175479840999127
2702,2,0.0402593848429565
2707,1,0.0275812611949182
2708,2,0.039655173713821
2709,1,0.0180756118386259
2712,2,0.0328923114009532
2732,2,0.0356167559990643
2733,2,0.042942725305115
2734,1,0.0191459744086606
2746,1,0.0308547215465388
2747,1,0.0194208406741374
2753,1,0.0191970762909502
2758,1,0.0252440506679342
2775,1,0.0315675637844378
2778,1,0.0216729273698734
2783,2,0.0369697551097963
2787,1,0.0376455558792433
2789,1,0.0360039259921718
2793,2,0.0401908766677682
2801,1,0.0268989655644252
2803,1,0.0193920022485023
2805,1,0.0254882571174937
