,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46
594,7.0,1.0157219,0.0184121262003843,19.977547,1317.2412,0.0205581646403204,0.0837151719709074,3.2967685e-13,0.0334468553892797,0.0750847223751308,0.0632658898432215,0.050560154,0.0247690090473636
596,7.0,0.0,0.0178938971028883,5.3898754,4529.809,0.0054512290265064,0.0554272062992548,8.246758e-15,0.059111645079181,0.0558171966425397,0.0499910818979679,0.5334019,0.0595014697730592
602,7.0,0.0,-0.0432310146444917,4.7189894,6140.0137,0.0124931535728955,0.080765625814826,3.2552558e-15,0.0196192119399149,0.0797846945499377,0.0683414299315976,0.65450937,0.0186322796004804
603,7.0,1.0095998,0.0219944214820744,17.145775,686.9101,0.0463926249527602,0.0850779493350471,1.293213e-12,0.0884574865875993,0.0767302032811687,0.0388386200035672,0.09837186,0.0801144348403668
604,7.0,0.82772845,0.0245474345132829,20.537832,1139.5894,0.030604721943867,0.1093604476678654,7.705378e-13,0.0872498510319502,0.0971785884046019,0.079020202080583,0.1592288,0.0750177287116416
613,7.0,0.3007144,0.0278149738116627,5.354422,558.26227,0.022251000256316,0.1177537519343753,6.907992e-13,0.0866286710413637,0.1042316001486519,0.0957536395007546,0.004660344,0.0730250956069137
616,7.0,0.44124636,0.021390010011375,5.925868,1806.9205,0.0305971288269019,0.0774103158608095,5.4202648e-14,0.0308506397279376,0.0684411740153368,0.0469243288744442,0.37151504,0.0218398011381313
626,7.0,0.52255225,-0.0907716439399743,7.5294747,6011.4824,0.0114820659649829,0.042948133546691,6.9982027e-15,0.0193815040524723,0.0411902342936042,0.0314815922032378,0.50530815,0.0176210909151022
627,7.0,0.29328504,0.0157516239044302,13.673934,1794.6744,0.0187398826612327,0.1047128097398383,1.197969e-13,0.0440002828275484,0.0973371146733832,0.0861419639513041,0.22277859,0.0365606245873325
628,7.0,0.53226966,0.0210377783979733,12.127837,968.1994,0.0295096494074805,0.118522654642061,4.5303385e-13,0.0675087848054679,0.1091768464825372,0.0893254264504571,0.2367058,0.0580775800678782
631,7.0,0.35298198,-0.0333215315521488,10.675745,3145.764,0.0129744486806247,0.099368760427613,2.7083753e-14,0.0779198342445259,0.096111106206161,0.0865058398233562,0.4054845,0.0746498995255854
633,7.0,0.27270034,0.0215340405900778,7.994339,2222.4717,0.0168906347541809,0.1438445132447855,5.16919e-14,0.0257401931199802,0.1343652163578859,0.1272630800686473,0.04006783,0.0160780727092668
636,7.0,0.64724797,0.0266410484185917,27.763962,460.24506,0.0305223724197096,0.0980433018526654,6.1340802e-12,0.0744679436048541,0.0847799440650516,0.0677235932455493,0.09550383,0.0611543234179315
638,7.0,0.0,0.0156552599758139,4.4936504,9434.767,-0.0036302845935367,0.0556298344254503,9.351153e-16,-0.0036726200466498,0.0698807749409704,0.0592481537280924,0.1577475,0.0106344953408596
639,7.0,0.63432944,0.0216303377022673,7.795177,1138.6663,0.0298657294023325,0.0990990979908615,1.9675041e-13,0.0616844274047724,0.0904651175085406,0.0694388845528668,0.080698095,0.0530008256255046
640,7.0,0.6569968,0.0146325207476232,10.259278,2076.3438,0.0159839797661284,0.0924970732639541,7.266553e-14,0.090849566789571,0.0859500635105395,0.0766263834101584,0.14186984,0.0843006335971056
641,7.0,0.8624133,0.0286694592972684,6.0067997,707.23126,0.1107182635010315,0.0894039306743403,7.28246e-13,0.030846915653167,0.0725797216334631,-0.0215274252304124,0.5513703,0.0139200941304526
644,7.0,0.34650376,0.0182149642264479,12.020839,1426.9209,0.0234042127262847,0.0331893878787254,1.468334e-13,0.0330961012075688,0.0220813634770103,0.009792781906274,-0.0019994832,0.0219880195662832
645,7.0,0.0,0.0187059620375698,7.3203087,3322.8215,0.0263706448500601,0.0257846548396792,1.983767e-14,0.0230794535804435,0.0164646412632512,-0.0005863887300746,0.044276394,0.0137584423599024
647,7.0,0.78466123,0.0232489034010457,8.027971,966.49054,0.0940592476960136,0.0842400848725707,3.2909697e-13,0.0349860962881462,0.0704949592231378,-0.0098975869375891,0.47264868,0.0211690983493223
649,7.0,0.29493695,0.0209306749698641,5.464711,1611.8447,0.0245073904359852,0.0799058259344175,5.0417878e-14,0.071461086581078,0.0726082253156826,0.0555071341909218,0.09227001,0.0641545510000681
651,7.0,1.1559252,0.0210731354550222,8.972765,1914.2728,0.02237361951954,0.071064525434824,9.494675e-14,0.0856098491155744,0.0605134235121691,0.0487684463137354,0.19907495,0.0750812899177313
653,7.0,0.7503908,0.0183976365651928,6.5851455,1376.3291,0.0438183115207024,0.1087397186282247,1.12837555e-13,0.0936817525102281,0.1051273660805349,0.0652322250174232,0.22689806,0.0900584570058472
654,7.0,0.0,0.0219376805826479,8.107969,2792.887,0.013254129287061,0.0702900073015046,2.1462551e-14,0.116758292055639,0.055952488026236,0.0570890640615772,0.16711226,0.1025364884069636
